order_id,order_purchase_timestamp,year,month,day,weekday,date_id
UGOUFp6lOvfy,2017-08-04 10:59:42,2017,8,4,Friday,91
W1NJYnYkaukv,2018-01-06 09:03:41,2018,1,6,Saturday,92
mekmxzX7xg66,2018-08-17 18:16:56,2018,8,17,Friday,93
zgIMZEReS5B1,2017-09-14 11:04:22,2017,9,14,Thursday,94
sqqcJi5UVxtn,2017-07-20 12:11:33,2017,7,20,Thursday,95
726qzHfAqEZO,2018-08-20 19:14:26,2018,8,20,Monday,96
SPsLXC6EZB6w,2017-07-28 19:39:19,2017,7,28,Friday,97
QLqDouIaUQyr,2018-01-23 09:08:05,2018,1,23,Tuesday,98
pKPwllWcu4W3,2017-08-16 21:38:21,2017,8,16,Wednesday,99
8WTKsujGSPr0,2018-05-21 13:00:59,2018,5,21,Monday,100
NTvOc3tRPuW5,2018-01-26 12:03:26,2018,1,26,Friday,101
Io6QaiAgVYoZ,2018-01-04 00:48:26,2018,1,4,Thursday,102
Xknxc0MlpwU6,2017-10-12 10:58:03,2017,10,12,Thursday,103
TmyZSJp1HpV7,2018-02-23 15:28:47,2018,2,23,Friday,104
GNz6cxwDUyoM,2018-04-05 12:34:39,2018,4,5,Thursday,105
t0EtYo45Wcw7,2017-12-20 19:27:45,2017,12,20,Wednesday,106
uCkWTkJzyQRA,2017-08-03 17:18:23,2017,8,3,Thursday,107
kHpIb3Vhkr2B,2017-06-17 17:04:27,2017,6,17,Saturday,108
JHwaDSRd7Yqk,2017-04-26 00:59:11,2017,4,26,Wednesday,109
PqlLQqphGWMG,2018-03-21 15:56:34,2018,3,21,Wednesday,110
J8Bc43diiiwa,2017-02-18 17:26:05,2017,2,18,Saturday,111
T4K1lnPN7lH9,2018-05-11 15:21:35,2018,5,11,Friday,112
qFGvBA8siR9C,2018-01-20 19:04:28,2018,1,20,Saturday,113
DTG8rFMgpHXy,2017-08-15 14:16:57,2017,8,15,Tuesday,114
EzLqwURTMESq,2018-05-14 20:46:00,2018,5,14,Monday,115
VfPfevghWKRz,2018-01-18 00:00:32,2018,1,18,Thursday,116
RrMH1HzjPDUy,2018-04-18 09:59:54,2018,4,18,Wednesday,117
dgXkaqn9QIyl,2018-03-21 18:59:56,2018,3,21,Wednesday,118
GkihidwfzkNV,2018-06-28 12:41:32,2018,6,28,Thursday,119
vl4sZM3Me2dI,2017-10-03 15:04:22,2017,10,3,Tuesday,120
uKdtgTIV8ML0,2018-01-08 15:45:44,2018,1,8,Monday,121
Tao6yqzZqR8i,2017-10-20 17:28:24,2017,10,20,Friday,122
CRAW5FHTgef2,2018-06-26 11:43:42,2018,6,26,Tuesday,123
hToNiABH0dXp,2017-11-14 18:14:55,2017,11,14,Tuesday,124
mUZI3vHznWIA,2017-12-05 08:46:43,2017,12,5,Tuesday,125
xgFgAUrPUHEk,2018-06-18 08:58:54,2018,6,18,Monday,126
JgAkkK19yYhw,2018-02-28 16:07:02,2018,2,28,Wednesday,127
3CD8klhI6sv6,2017-08-03 11:55:05,2017,8,3,Thursday,128
yA6ye44VAqXT,2017-09-05 15:20:35,2017,9,5,Tuesday,129
pshOBIa9uNaK,2018-08-16 08:29:20,2018,8,16,Thursday,130
SpFKAoPp0ilG,2018-06-24 20:33:41,2018,6,24,Sunday,131
hwV9K6iZVgnh,2018-04-02 18:23:58,2018,4,2,Monday,132
DBPnEuQDFDVb,2017-10-23 19:00:48,2017,10,23,Monday,133
CM47ksrL2R8A,2018-04-29 17:26:54,2018,4,29,Sunday,134
6otDC7qi8cZh,2017-09-03 21:25:25,2017,9,3,Sunday,135
wq3LDwK546wG,2018-02-16 15:02:18,2018,2,16,Friday,136
w4jk8j2fTnhw,2017-10-23 16:29:44,2017,10,23,Monday,137
tZoVpxv5FVIH,2017-06-02 10:14:17,2017,6,2,Friday,138
tFQGjmZndsM5,2018-02-21 17:06:23,2018,2,21,Wednesday,139
nblJwrll1AS0,2018-06-28 19:28:52,2018,6,28,Thursday,140
3vx9j3SvRUKg,2018-08-25 17:52:00,2018,8,25,Saturday,141
OPuvw5JcjfOh,2018-03-28 12:11:45,2018,3,28,Wednesday,142
kVpTE6tUo9w7,2018-03-24 09:54:40,2018,3,24,Saturday,143
NecsYKNR6nba,2018-03-04 21:56:16,2018,3,4,Sunday,144
fnSFBmKlfG9i,2018-05-03 10:55:07,2018,5,3,Thursday,145
u2oKzCyv9sav,2017-09-12 10:44:39,2017,9,12,Tuesday,146
OtV6waAZRqcN,2017-02-04 19:06:36,2017,2,4,Saturday,147
vhdr4kEZVJXi,2018-07-02 19:07:01,2018,7,2,Monday,148
kyeIOoUKvoIM,2018-08-01 21:53:01,2018,8,1,Wednesday,149
VZvjDMifWUUk,2017-11-06 14:20:14,2017,11,6,Monday,150
GewZicdnVU4o,2018-06-24 11:41:00,2018,6,24,Sunday,151
paJO30kb5azy,2018-07-25 14:47:45,2018,7,25,Wednesday,152
Co6YY9CSER9B,2017-09-11 19:36:44,2017,9,11,Monday,153
1ADWBenqZlyI,2017-12-16 16:23:35,2017,12,16,Saturday,154
YKY495iYCoqG,2017-10-23 18:35:53,2017,10,23,Monday,155
MV5sovfkXA3U,2018-07-10 01:51:19,2018,7,10,Tuesday,156
jQBSgqRWOpvl,2017-07-10 17:12:02,2017,7,10,Monday,157
CtWqYNGFXvab,2018-05-14 13:12:20,2018,5,14,Monday,158
obrJjCEHkABU,2017-11-03 16:55:44,2017,11,3,Friday,159
BmKm8T53Heik,2018-07-29 15:25:12,2018,7,29,Sunday,160
WMaeamcmMFS7,2018-07-31 14:04:37,2018,7,31,Tuesday,161
80zasKxvt11B,2017-11-21 14:34:31,2017,11,21,Tuesday,162
HW9Ogje6AlUA,2017-04-21 20:05:33,2017,4,21,Friday,163
O3kEwpEBakLG,2017-12-02 21:32:46,2017,12,2,Saturday,164
TKwhZWStGsmY,2017-06-12 10:06:50,2017,6,12,Monday,165
I54x5B7ZScB4,2018-08-07 10:57:10,2018,8,7,Tuesday,166
KOrn1FCfjiwG,2017-09-21 15:25:11,2017,9,21,Thursday,167
RI0Rc1aPQdUs,2018-01-27 10:54:53,2018,1,27,Saturday,168
q4CIb4iWNj6w,2017-08-09 12:40:41,2017,8,9,Wednesday,169
ATrYoxeRKpjR,2018-06-18 22:47:01,2018,6,18,Monday,170
k1rQ3PIw3yYp,2017-11-16 13:53:55,2017,11,16,Thursday,171
lD9HnSAxViqE,2018-08-06 15:59:07,2018,8,6,Monday,172
PX1ynyV2HPjl,2017-10-15 15:41:36,2017,10,15,Sunday,173
Gwq3kXZ8MW3c,2017-11-19 14:22:35,2017,11,19,Sunday,174
W3nEEHGY8aZe,2018-07-12 10:24:33,2018,7,12,Thursday,175
mpXwWjfPlBSr,2018-05-02 18:38:11,2018,5,2,Wednesday,176
xneeAgYsRUlF,2018-06-13 20:52:10,2018,6,13,Wednesday,177
BRj5e8wXFtYd,2018-04-02 10:57:09,2018,4,2,Monday,178
fuBWf4V2Fw1v,2018-02-22 23:13:55,2018,2,22,Thursday,179
mpPCmbAGPedF,2018-01-28 17:22:43,2018,1,28,Sunday,180
yb8LxW1FVkLV,2017-07-29 10:47:22,2017,7,29,Saturday,181
7s3w2S5NqgHr,2018-01-18 09:30:54,2018,1,18,Thursday,182
nWpya4oQZL6n,2018-05-16 09:52:34,2018,5,16,Wednesday,183
tytEgIj2Th3J,2017-11-09 11:10:13,2017,11,9,Thursday,184
Wa1rNI8dP7zs,2018-08-16 10:30:31,2018,8,16,Thursday,185
fIrfCQsEFnE9,2017-10-01 20:48:40,2017,10,1,Sunday,186
at7rWo8KPYVJ,2018-01-11 18:37:55,2018,1,11,Thursday,187
PmfjmIs699a5,2017-12-07 20:48:38,2017,12,7,Thursday,188
Na5LA4dY4q9A,2017-06-14 15:11:20,2017,6,14,Wednesday,189
BunZbvls0n1k,2018-05-02 14:22:52,2018,5,2,Wednesday,190
AhUvxUGYsopt,2017-11-24 10:44:28,2017,11,24,Friday,191
gI9LiRm1Ryjt,2017-11-28 22:18:10,2017,11,28,Tuesday,192
E93Sn1q2YqAV,2018-03-28 22:21:11,2018,3,28,Wednesday,193
FrByV3btkMWv,2017-04-11 16:18:04,2017,4,11,Tuesday,194
8J2PSZX0Qado,2018-06-13 09:16:20,2018,6,13,Wednesday,195
47UxbbQPIt5G,2018-05-26 19:30:51,2018,5,26,Saturday,196
ojnrE1j1yZNk,2018-02-01 23:08:48,2018,2,1,Thursday,197
bCo6YkJgUmME,2018-02-05 23:05:18,2018,2,5,Monday,198
DKYTTXy6VhNE,2018-04-18 17:12:24,2018,4,18,Wednesday,199
nr3yNXzg551L,2018-03-06 15:28:00,2018,3,6,Tuesday,200
zErVTquqlznU,2018-01-13 19:00:59,2018,1,13,Saturday,201
vJOB9Yahwavl,2018-05-07 16:08:14,2018,5,7,Monday,202
tJN8rPKqcCsC,2017-11-28 14:09:58,2017,11,28,Tuesday,203
jap0obJnnAmy,2017-09-06 12:46:07,2017,9,6,Wednesday,204
B1SS9cXxCf43,2018-05-29 16:16:19,2018,5,29,Tuesday,205
KXDoKZReRLYT,2017-05-27 10:14:17,2017,5,27,Saturday,206
J20qFvYqnjav,2017-10-11 17:31:10,2017,10,11,Wednesday,207
ODQVs33Hh84k,2017-01-28 13:17:57,2017,1,28,Saturday,208
xX2UiyxIPZSv,2018-04-14 10:04:18,2018,4,14,Saturday,209
xiJphil15jpi,2018-01-09 13:04:37,2018,1,9,Tuesday,210
E8OuxMoG0Q75,2018-02-09 12:24:45,2018,2,9,Friday,211
FABrt78aO16I,2018-04-29 13:36:40,2018,4,29,Sunday,212
6b03hCPGdqkl,2018-02-04 19:58:39,2018,2,4,Sunday,213
Jcy2W2E0Agmu,2017-08-15 12:59:15,2017,8,15,Tuesday,214
aOYDktekeGQa,2017-10-27 16:42:40,2017,10,27,Friday,215
D7VNrgEGCxnU,2018-02-17 19:50:55,2018,2,17,Saturday,216
rSLWWI0YOkKf,2018-08-17 14:59:49,2018,8,17,Friday,217
KYO2H5mu4Wc2,2017-05-30 21:04:56,2017,5,30,Tuesday,218
HkhWA2uQbJjR,2018-06-26 16:59:10,2018,6,26,Tuesday,219
UEMavvdMBBA8,2018-05-09 20:49:26,2018,5,9,Wednesday,220
yCkVMOcqHA1A,2017-08-24 21:11:15,2017,8,24,Thursday,221
6wadKo4Uu9GE,2017-07-26 11:46:34,2017,7,26,Wednesday,222
8mIyPGLbfaH5,2017-10-25 10:14:46,2017,10,25,Wednesday,223
ZEHiCVT7ZSba,2017-11-13 22:27:49,2017,11,13,Monday,224
oAESSZCHbW0s,2018-05-12 18:02:57,2018,5,12,Saturday,225
KHgfaMNh9uhy,2018-06-05 21:54:42,2018,6,5,Tuesday,226
7Tm4svxqksuZ,2017-11-24 23:59:24,2017,11,24,Friday,227
nGdpUMWwEiJW,2017-11-12 09:50:22,2017,11,12,Sunday,228
2MGiPfM1fYce,2017-04-19 17:19:08,2017,4,19,Wednesday,229
V2mJU7eydnfg,2018-01-14 17:18:45,2018,1,14,Sunday,230
DAYUX6uOyR75,2017-08-08 20:26:31,2017,8,8,Tuesday,231
boeIrCCs8kim,2018-01-03 22:20:04,2018,1,3,Wednesday,232
EEGYTFIZDfBx,2018-03-20 09:43:48,2018,3,20,Tuesday,233
BihLVZjmyN0H,2018-04-04 14:01:18,2018,4,4,Wednesday,234
1kGGcFSFoKao,2017-10-06 21:52:10,2017,10,6,Friday,235
eVFyR1qdF9cp,2017-08-22 11:50:48,2017,8,22,Tuesday,236
ho9aYoyNRGoz,2018-06-29 16:22:54,2018,6,29,Friday,237
vsQdmfvAWD0r,2018-06-03 13:17:29,2018,6,3,Sunday,238
NtSSqXv1Z1Wm,2017-03-14 22:44:28,2017,3,14,Tuesday,239
ksOPq3lpCN7q,2018-05-11 16:33:12,2018,5,11,Friday,240
QfDwhACQ23Xr,2017-02-28 17:40:00,2017,2,28,Tuesday,241
u5AJRhmBLQtz,2017-11-24 21:07:00,2017,11,24,Friday,242
pX5m0O1CVY5q,2018-04-19 20:41:50,2018,4,19,Thursday,243
jyNEi4sA1XHY,2017-03-20 13:32:15,2017,3,20,Monday,244
8WYnlgMCHPfg,2017-12-04 15:39:10,2017,12,4,Monday,245
YNo05KYxHSkK,2017-07-09 10:02:44,2017,7,9,Sunday,246
LlxtAAKjt6BB,2018-05-15 18:43:07,2018,5,15,Tuesday,247
PNI2HqlPxVjC,2017-07-26 00:09:36,2017,7,26,Wednesday,248
F8EbvNo4GhiG,2017-11-26 09:30:30,2017,11,26,Sunday,249
oSyS0JoHQjtO,2017-12-11 23:23:16,2017,12,11,Monday,250
5AI7yWNtkxDG,2017-03-24 22:17:46,2017,3,24,Friday,251
9bqV6nH4nfrW,2017-01-19 13:38:16,2017,1,19,Thursday,252
QWzeukLNfMeF,2017-04-03 17:54:02,2017,4,3,Monday,253
mNxi2hOZpFeh,2018-03-09 13:50:15,2018,3,9,Friday,254
Fie0ynZ7drmB,2018-05-14 17:50:03,2018,5,14,Monday,255
M9fSx7DrrYb9,2018-01-31 21:25:06,2018,1,31,Wednesday,256
Yhkot2w7WEXz,2018-08-19 22:08:56,2018,8,19,Sunday,257
AdQYiwpmbcZs,2016-10-05 19:09:33,2016,10,5,Wednesday,258
6QNUKHTlKzQz,2018-05-06 22:19:02,2018,5,6,Sunday,259
FXRNx6tgp5qm,2017-09-21 17:13:40,2017,9,21,Thursday,260
bJx1zp3tvlFI,2017-08-23 11:48:42,2017,8,23,Wednesday,261
yEA6uAyJrtyn,2018-03-07 21:08:18,2018,3,7,Wednesday,262
sWGOVCBlIYpQ,2018-01-26 17:06:05,2018,1,26,Friday,263
hTsd7hsjSQkN,2018-03-29 15:41:07,2018,3,29,Thursday,264
7Z0hXerVDxYV,2017-08-07 10:30:17,2017,8,7,Monday,265
YeL4SAuZWnm6,2018-04-08 19:22:17,2018,4,8,Sunday,266
OGBnugiiwsQ7,2017-11-10 09:11:37,2017,11,10,Friday,267
cfV2FFpdyahv,2018-02-26 22:34:03,2018,2,26,Monday,268
E8AKfhtGs86K,2017-01-20 14:27:46,2017,1,20,Friday,269
OR0wt8h1DIKb,2017-03-11 11:41:42,2017,3,11,Saturday,270
qHQXGVVCHZYY,2018-07-16 16:30:25,2018,7,16,Monday,271
xpfzksDexXMI,2018-06-09 21:51:46,2018,6,9,Saturday,272
YYNavM4ecDW5,2017-12-13 22:25:36,2017,12,13,Wednesday,273
qUt5sGnfTqfO,2017-12-14 12:09:44,2017,12,14,Thursday,274
RVEKyUSqDZHV,2018-01-04 16:52:07,2018,1,4,Thursday,275
FfgsDN9OZGuM,2018-07-16 10:33:02,2018,7,16,Monday,276
sMzZJbA97sz8,2017-09-13 23:09:04,2017,9,13,Wednesday,277
oGdO8jGWtiCD,2017-07-24 13:41:56,2017,7,24,Monday,278
R4puFrZcycnq,2017-08-20 19:20:05,2017,8,20,Sunday,279
CetUKkHYgPya,2018-03-15 16:45:19,2018,3,15,Thursday,280
0d19WT6gAay3,2017-09-08 01:21:52,2017,9,8,Friday,281
Biqo21nETaMO,2018-04-20 15:06:49,2018,4,20,Friday,282
hhBKG3qil2KL,2018-03-07 09:12:51,2018,3,7,Wednesday,283
aDnwWyOFhEJ2,2018-05-07 12:59:03,2018,5,7,Monday,284
C5Vs4Tb4ozNR,2018-04-01 13:13:28,2018,4,1,Sunday,285
U1mAeIP72gPD,2018-07-23 10:51:17,2018,7,23,Monday,286
DfUyZDa86qO9,2017-03-11 21:55:28,2017,3,11,Saturday,287
ZskwlJutdrsO,2018-05-18 11:05:44,2018,5,18,Friday,288
n2qxYfewEQFx,2017-09-04 14:26:51,2017,9,4,Monday,289
HOR4OGRLZFAi,2018-08-05 17:52:49,2018,8,5,Sunday,290
m1LtjhIB9CsJ,2018-04-20 08:28:40,2018,4,20,Friday,291
JXMfAIkr2GMn,2017-04-20 17:24:38,2017,4,20,Thursday,292
ao8cwuTvK450,2018-07-12 22:14:53,2018,7,12,Thursday,293
0UBmWOKw8fEf,2018-04-23 10:53:41,2018,4,23,Monday,294
jVdQnhB1si7w,2018-05-09 04:46:01,2018,5,9,Wednesday,295
WWw3VcoVGQWw,2018-07-17 21:29:23,2018,7,17,Tuesday,296
Nifv0ug4fbdY,2018-03-08 19:20:03,2018,3,8,Thursday,297
BUg1mBIQpkwF,2017-12-13 17:12:13,2017,12,13,Wednesday,298
46mQB8D3v9eI,2018-05-09 13:50:47,2018,5,9,Wednesday,299
0DLS5w2AyhwI,2017-12-21 20:16:54,2017,12,21,Thursday,300
PLRvoLumWbkD,2018-02-08 10:08:50,2018,2,8,Thursday,301
oVRVeW4UOiln,2018-04-20 10:39:16,2018,4,20,Friday,302
grIIIXCxNzVS,2017-04-03 19:07:32,2017,4,3,Monday,303
sWOapohERXHv,2017-08-22 01:37:36,2017,8,22,Tuesday,304
3zQxmjW6iIQM,2017-05-12 04:58:05,2017,5,12,Friday,305
bL1iH5RftKa5,2017-11-27 10:14:03,2017,11,27,Monday,306
qMnWT2faWgwg,2018-03-04 14:53:20,2018,3,4,Sunday,307
VtlAs8XD0DsD,2018-04-27 12:06:54,2018,4,27,Friday,308
LkbR0ufbuMHg,2017-02-18 22:49:19,2017,2,18,Saturday,309
V8k8G52pXF97,2017-01-27 14:01:20,2017,1,27,Friday,310
pmsiX0dmE1rH,2017-08-21 22:28:57,2017,8,21,Monday,311
roLFENE2HITq,2017-11-20 16:54:27,2017,11,20,Monday,312
FrhdrgQs3oNw,2017-04-04 23:39:14,2017,4,4,Tuesday,313
3llJ3o8c2vXh,2018-01-22 15:29:53,2018,1,22,Monday,314
6gqB9L4H6mTT,2017-01-19 09:59:49,2017,1,19,Thursday,315
rkEDCr6cFVPU,2017-05-24 08:57:47,2017,5,24,Wednesday,316
ZEA7QmAPMVfg,2018-07-17 16:29:37,2018,7,17,Tuesday,317
TJoDeQ2Xlz5v,2017-03-18 17:45:15,2017,3,18,Saturday,318
Tyqe3VkvE2ia,2018-04-12 22:28:45,2018,4,12,Thursday,319
ozLF9m7eEm98,2017-08-04 19:17:37,2017,8,4,Friday,320
JXMbT6I9MNoO,2017-03-27 08:52:56,2017,3,27,Monday,321
RHC6EUl5JcR5,2017-04-02 22:05:26,2017,4,2,Sunday,322
DwOeec3mPOL9,2017-04-28 19:54:40,2017,4,28,Friday,323
1LQsht0oRLjV,2018-08-11 18:20:45,2018,8,11,Saturday,324
DhYtehGRi5Ft,2017-12-13 21:53:08,2017,12,13,Wednesday,325
Od8slGuu4iXb,2017-11-16 19:29:02,2017,11,16,Thursday,326
XnBRhcE8kuI9,2017-06-09 22:48:58,2017,6,9,Friday,327
wwYVWXIl3qEc,2018-07-14 23:08:02,2018,7,14,Saturday,328
4pXD71R3zOzN,2017-03-06 14:48:06,2017,3,6,Monday,329
K0NF1wdh0LvK,2017-12-15 15:24:33,2017,12,15,Friday,330
6UsiVOKddOkD,2017-12-14 13:21:34,2017,12,14,Thursday,331
hVDdZER4kLPK,2018-02-20 19:31:45,2018,2,20,Tuesday,332
bHH5GqG5l1Z1,2018-02-23 15:17:38,2018,2,23,Friday,333
hj982ZHuOpX2,2018-05-12 09:42:46,2018,5,12,Saturday,334
xmetOCIiW5xA,2018-08-06 21:01:40,2018,8,6,Monday,335
AqBRn45qEWbc,2018-04-15 20:46:15,2018,4,15,Sunday,336
dIqUTmB6GAfq,2018-06-24 23:58:10,2018,6,24,Sunday,337
giwiJ531UruF,2018-03-24 13:38:59,2018,3,24,Saturday,338
5qBwZDA0LlFC,2018-07-17 15:30:50,2018,7,17,Tuesday,339
SSWdznwYcP3H,2017-09-27 09:11:49,2017,9,27,Wednesday,340
wRnAjbJ6jnUf,2018-05-14 19:08:11,2018,5,14,Monday,341
I7EQbnwm1Q63,2018-07-02 20:11:18,2018,7,2,Monday,342
cRMM1epfDvSR,2018-07-20 06:49:07,2018,7,20,Friday,343
fuEVwCKcg8U1,2017-12-26 21:57:46,2017,12,26,Tuesday,344
hQ9yfvzfLbcw,2017-10-12 17:21:12,2017,10,12,Thursday,345
VLa5YZFj2W0i,2017-06-05 00:11:23,2017,6,5,Monday,346
DTJdNewgAKSE,2018-04-11 20:10:33,2018,4,11,Wednesday,347
0XMCKHWULwyS,2018-07-24 21:53:52,2018,7,24,Tuesday,348
g8ZrY2zT7ya4,2018-02-24 22:44:28,2018,2,24,Saturday,349
GOKkBcX2MRRC,2017-08-07 09:14:30,2017,8,7,Monday,350
g8AatMWmKGPw,2017-04-11 16:05:15,2017,4,11,Tuesday,351
1VAo82Ufuaol,2017-03-23 23:55:55,2017,3,23,Thursday,352
