customer_id,customer_city,customer_state
9hLk4KZPIrdp,montes claros,MG
ZNkeoW0v2Yz5,osasco,SP
bVEGh3nqaNyK,ivaipora,PR
4nWN1nYcBUUM,sao paulo,SP
CJBe5YcVa8BV,patrocinio,MG
njO6UF6KC5oM,mendonca,SP
vGbrlOwsJGNT,telemaco borba,PR
kRrMY3t755nL,joao pessoa,PB
FB4qoCQtY78b,maringa,PR
XUVgmhKGTlCU,rio de janeiro,RJ
FRenfQXwKTr2,lins,SP
qXd5XyJFHOOH,ponta grossa,PR
KBYhryQMswGj,araruama,RJ
InzL2EFfs1Z4,faxinal,PR
TLcN4gqrngCZ,sao paulo,SP
ZXGtgz22ZuTc,olimpia,SP
10CMmu85B1xh,guarulhos,SP
950pNgLYvrUB,sao paulo,SP
GyQLgLcEsyyk,cuiaba,MT
R0hdk8rOTHCx,brasilia,DF
f2XW6ZIEWnk2,buritama,SP
P101VTJljiqW,cangucu,RS
oEEHeCpHvpTJ,sao paulo,SP
sQ58Z70GxzD1,pinhalzinho,SC
2wl1V2O532Ne,juiz de fora,MG
lkeyEiK1e5yg,curitiba,PR
bCn2jXaQK8n2,brasilia,DF
PCtRlALJAqIy,aracaju,SE
GIo0gCA7DZwJ,sao paulo,SP
OZVsT3BLq9H2,santos,SP
j796RyTU4D9J,barra do pirai,RJ
sNvreFY4xGGx,suzano,SP
Of9TY1egrbYl,guaruja,SP
rVpZ5iyUcDs1,goiana,PE
GCIHYuqgJO4m,taboao da serra,SP
UaYsJO1dP5iW,vinhedo,SP
6qgZyqFsEr8W,piracicaba,SP
mPVFphfpomAt,macae,RJ
wtZTUGiZB7cc,betim,MG
qK7oy4s5YyXx,santo andre,SP
kLnTz5KGD1RN,sao joao da boa vista,SP
BDfHue7TLPbA,cocal,PI
pr9d47fsvAOA,manhuacu,MG
G1Bo4rtOPOUV,rio de janeiro,RJ
ntLORCsAAxkl,campinas,SP
Wzt8Wnmh39R5,campinas,SP
IbNmDM5pVSuW,duque de caxias,RJ
2BDSGrKxGvBM,betim,MG
zzXJDr2XBrBa,americana,SP
wL6AVErEnDEN,sao jose do rio preto,SP
MH8RBjpM8eLq,sao paulo,SP
DVWp3lrKeGtO,campinas,SP
nwe6tWyEFgKX,itapeva,SP
ZnWtfiYU2gmJ,sao paulo,SP
184l4HeebUUs,tres lagoas,MS
rrVwfYACf06j,campinas,SP
5I8T5HbvLcxV,fortaleza,CE
gc5eu2jRP8Ue,sao paulo,SP
YRGRe4QsNriT,bocaina,PI
mgzE1mWPrm0b,teresopolis,RJ
YMfJQ9PazlYb,guaratingueta,SP
ogasrBdboH6w,embu-guacu,SP
W2VQOt7KVy6H,betim,MG
IirLNRdsUxR3,sao paulo,SP
t26lZBwvRhG4,sao goncalo,RJ
BTGQBnuBkWTP,lins,SP
JqvcHU6MeNPY,governador valadares,MG
vRbt7lQwnXRq,sao luis,MA
ExANiT3OIbOY,cosmorama,SP
VMGiDteguIiv,rio de janeiro,RJ
LlA9gb5gFVGc,raposos,MG
CpEHH3xqcozm,vitoria,ES
oO7bOdpWgnYb,tres marias,MG
D3m8aT6XucbW,taboao da serra,SP
aijopZ8MSdrR,curitiba,PR
L4YypNLTXp74,tatui,SP
tdPbY5RvYiew,ouro preto,MG
YActXwv3Y5Gi,pinhais,PR
AGCtVipzoiOF,rio de janeiro,RJ
ILQa3Kn6bDI6,sao goncalo,RJ
g96IscN82qaH,londrina,PR
rkwgauHpsbI2,sao paulo,SP
jyMYviDKWitg,jaboatao dos guararapes,PE
Ohw8sDco6bPu,sao paulo,SP
YDUVSDBuTWfM,rio verde,GO
KpXnUCYEfrXH,santa maria,RS
vyYSsscIhCiO,campinas,SP
lSomgOsTCP4U,sao bernardo do campo,SP
fdOB1jOqBSQS,sao paulo,SP
9AU7CfR0udf7,apucarana,PR
f3tYfLzojNVI,pocos de caldas,MG
HJYGjBBwZZtF,sarandi,PR
5l068RJToruk,sao paulo,SP
m3rvPRXOZVMK,sao fidelis,RJ
bVaYS9waa2sh,guaruja,SP
ggRUhTY47BvS,rio de janeiro,RJ
tNTik5aFiRfV,sao paulo,SP
swwLA3wfsrzU,toledo,PR
bP5kiwkaCqIi,sao paulo,SP
E0YjDtmJ2tu9,sao paulo,SP
x4Koq5pqV2iA,campo do meio,MG
VQmOdb97L3NX,paulinia,SP
rWQ5DmfRpEHX,belo horizonte,MG
7tHlpp9PIsDJ,jundiai,SP
ZjkS1jjTW4ei,curitiba,PR
3ygMHzAu6iPq,macae,RJ
6qV1JAlxvACX,fernandopolis,SP
xt2w5DiNag1t,irani,SC
V2raysQanXud,nova esperanca do sul,RS
BsmOTC1b93g1,cotia,SP
0ppLSIt4btFY,sao paulo,SP
31A7FiOQoCnn,taboao da serra,SP
Ivtp0KMG7fRV,sao paulo,SP
RaooSyuOMPGV,sao paulo,SP
PYIfk4aezkrI,sao paulo,SP
zdKG9apl6jIZ,foz do iguacu,PR
Xv2LLvsTB2Wn,campinas,SP
XaUlNzHILmZh,sao paulo,SP
5mXDJ6NmcXmv,rio de janeiro,RJ
g6qtNzCdXU0C,tres barras,SC
soLxGcdOU73S,feira de santana,BA
OPPFYEAWif9X,sao paulo,SP
sM9kRw53gwad,sao paulo,SP
D4iBJgP2KjHq,vitoria,ES
o0gnecAFdlJB,sao paulo,SP
nPfVkqhhWTwb,sao paulo,SP
uzQYBbMbMPMF,sao jose do turvo,RJ
Jxy8uod7ozFs,contagem,MG
oAZ7OCWKsoDv,lages,SC
0ElCR6lB1a8Z,rio de janeiro,RJ
jye5qp1Wu0FI,sao bernardo do campo,SP
RUpwIYbtZ0l3,sao paulo,SP
4MBF3DUDYYV5,sao leopoldo,RS
7LX2ffZwwzuW,rio de janeiro,RJ
ufeA6XZUvEln,sao caetano do sul,SP
vOL6Nxc99z2n,sorocaba,SP
YNBaU2euoQ3y,sao paulo,SP
f3hY5LK6K2rT,itapevi,SP
mN9bdCM7GgFE,sao paulo,SP
gN5WSy7WygiK,divinopolis,MG
8Cp259DS3W4b,santos dumont,MG
vBXAF0ljQOn7,ipojuca,PE
nmYbYIE684Jz,guarulhos,SP
gjw2ezpSJvR1,teresina,PI
ALDvocEtJSSN,rio de janeiro,RJ
rl6DXFwpoeWA,jaragua do sul,SC
aR68UXjxXjsQ,panorama,SP
FE792HtGAt71,belo horizonte,MG
flrMa2cVRj8c,jacarei,SP
vVnbcPACiUlO,sao paulo,SP
6Oyl3eGtC0gr,feira de santana,BA
TrLRMUdWaQHx,belo horizonte,MG
UXs8qnVOI84S,sao lourenco,MG
YFoKoWL2X75t,sao paulo,SP
dNFSFbNcvQEX,guarulhos,SP
0fbv2MuqXbqx,araxa,MG
FmvgV0A44TaS,brasilia,DF
NA6521waTjnZ,nova friburgo,RJ
IVuCRVIA6rml,sao paulo,SP
AU4iqmURZEnJ,campinas,SP
D5dB0pZa5zho,rio de janeiro,RJ
XrmOwIWMgFTS,linhares,ES
y510OvWhsolR,diadema,SP
lNyehspOb9Lz,sao paulo,SP
snGOZiHSdoKM,cafelandia,SP
UWI2mBhl2d8P,joinville,SC
YfN1DeT1YGiY,sao paulo,SP
sKwLXkyBq5VP,itabuna,BA
FTEqFKZluPxz,brasilia,DF
ZQ37SMSff5yt,botucatu,SP
rYsVZieS9YlZ,campinas,SP
bBdaOit4rJ29,taio,SC
CgPeFU7Ho2Fc,serra,ES
Xhqij3xorJCW,tubarao,SC
tF7F4FFz5AeL,uberlandia,MG
CoxzTPZu9637,campo grande,MS
qeZCC3BlcACE,vila valerio,ES
xCe2rNxNNeZ9,engenheiro paulo de frontin,RJ
FIAgvkiG0Rn7,ananindeua,PA
N8AWnnTb2KYi,bela vista de goias,GO
mNPCM1Ff7p26,divinopolis,MG
McoxVVasu414,campos dos goytacazes,RJ
PE1IpEwfQWnD,mossoro,RN
xh0hGOWQ4po2,sao jose dos campos,SP
gHYOH8lHMYWj,itu,SP
tgOqRS1ySu2E,sao paulo,SP
WZu0l2oQ9c3C,palhoca,SC
JwaxDDor8HJS,nova iguacu,RJ
E7RspGp8H7WD,marilandia,ES
6E5nlCKrnHEf,sao paulo,SP
PxOk1wdyXOy8,campinas,SP
UuPk1acPQ0gs,sao roque,SP
0M1jsLTW6b5V,santo andre,SP
1MA6mCBkIMCr,santa maria,RS
96IzdLOFjMzC,sao paulo,SP
Rc0LLFq6sTnx,campos dos goytacazes,RJ
bhLhyyAfQ0ha,sao jose dos campos,SP
bj4nV5oi64BU,jaragua do sul,SC
NqDXxqVlSI4S,irani,SC
OBCnsVkkH31c,sao vicente,SP
DSNpwUg48E10,braganca paulista,SP
0L9kj9ss3U8X,mage,RJ
JNwZxN5F26XN,santana de parnaiba,SP
Fw75b7PhIH2s,macae,RJ
RsKKhLOuYvRj,sao paulo,SP
li6n11KfL9qe,juiz de fora,MG
1uoZyUZ8ofd8,sao paulo,SP
QIq0mujA0XNC,santo andre,SP
13QC1AOX58yu,petropolis,RJ
Vgyfmb4nYOoj,contagem,MG
RHJ0CL41nYe1,sabara,MG
xV6mRxIQbW8x,rio de janeiro,RJ
pDuKFS4bqSbx,rio de janeiro,RJ
guvHjqqiGGYD,sao paulo,SP
zaQlKYHHyUFT,nhandeara,SP
4vxo2lLXmhJg,sao paulo,SP
CXhBTYB1j7es,imbe,RS
f8TCXhL2ohSn,salvador,BA
0HOc4IVAMvcc,pirassununga,SP
UHlLgh1aBsVI,brasilia,DF
wWrDFiKC8SqR,ribeirao preto,SP
xemFKlPpjf1O,santo andre,SP
HWooUBgyBrJU,sao paulo,SP
Rq3VTAVc4cEX,presidente prudente,SP
BkrFAZLNaKP8,sao paulo,SP
EbO7yiSrYEwd,guarulhos,SP
xDaUEW904mou,cuiaba,MT
yg2g0mAhx5T1,carapicuiba,SP
Qepcd09PiBVh,petropolis,RJ
7EoYi1dl0ZlZ,belem,PA
60KylWXGYQWc,sumare,SP
oEsDVgcHUH2R,bauru,SP
KE0ldMSkJ7ON,itapeva,SP
DPGuqDFQ5v6X,rio grande da serra,SP
JSMHxsrux4bk,porto alegre,RS
MT2XwzRoueKM,cachoeiro de itapemirim,ES
eOV9utT5xYwu,niteroi,RJ
B0HWFSoHNCtv,nova petropolis,RS
G7ctZMVXvhq5,franco da rocha,SP
snqBXMdSjEzu,carapicuiba,SP
QBpRMQRMpteB,sao paulo,SP
CERpOcaKTlre,rio de janeiro,RJ
uCT2w9ezPhij,tatui,SP
23k82QBZZMgO,indaiatuba,SP
wZtFhTNeKgAc,sao paulo,SP
E5kdkpZwpAQi,sao paulo,SP
giIQsy9NZbQX,ribeirao preto,SP
kYXwNMuLFLYH,parnamirim,RN
kaJ5Kr5w3fTS,arapongas,PR
7cVstwXEHt8D,petrolina,PE
uHHxWXPtKeGU,sao joao da boa vista,SP
mHwSTsg4zuic,curitiba,PR
q3SR383yIm4p,penha,SC
ZcgwaiAcfiU4,campinas,SP
oxt0oCiHjXqv,sao paulo,SP
SDZ9cjZvkpjT,canavieiras,BA
xaKhF2p20DS4,rio de janeiro,RJ
H78oIa2WtYqp,barra do pirai,RJ
NwCPzSKKEvVp,timoteo,MG
GffvnWbtrKlT,sao bernardo do campo,SP
nbKzQ0AuCDl0,embu das artes,SP
TeK8Gd0TnsHQ,belo horizonte,MG
0umHcduJWwGe,brasilia,DF
5YiamV3feycE,belo horizonte,MG
kE9B2mavut7o,domingos martins,ES
6zU2Rbui6nk7,jundiai,SP
9opodpHpLahP,araguaina,TO
Sn3F2BTGEflH,sao paulo,SP
Riy0bJoX1wnl,vitoria,ES
iLswctj4iZW9,guapimirim,RJ
gAcLsepZ6u04,sao paulo,SP
YpygInCyIABs,sete lagoas,MG
i8807OfGgRJf,guarulhos,SP
ieUAQ43ejQw3,rio de janeiro,RJ
jMqgkqkIJ80D,campinas,SP
1kGWwLW5T3we,sao paulo,SP
nrFUBlp65IwQ,sao paulo,SP
ygcCWf4Rr1VJ,sao paulo,SP
olch8MXnY65j,tijucas,SC
VJA6oIHecZYi,bauru,SP
SGDdbOOsBk5s,rio de janeiro,RJ
ZhRjHAWIJxTK,sao paulo,SP
Ng1SJFwi6dFk,estiva gerbi,SP
u9EyJzrNg2zv,sao jose dos campos,SP
UuNoFHtGgvvb,maringa,PR
zfmdcVbSSus7,timbo,SC
PANMc146THkP,sao bernardo do campo,SP
qXYnpnE0nCal,canela,RS
vQrrk38FZuh8,sao bernardo do campo,SP
vLMSjl5yBBFP,salvador,BA
wjDaijWsAj5X,paranapanema,SP
zBqe5xiUeAlo,clementina,SP
6zr5eWK1Y332,curitiba,PR
PNf7W4oLWTmj,neves paulista,SP
pnN4Afjxxc5C,osasco,SP
dfjPww0DDb3c,sao paulo,SP
bBA9OtLF72Db,sao caetano do sul,SP
NmDQzzmsHDtt,sao paulo,SP
3GU8kwxR1g2K,valinhos,SP
P2NVqYwpRocO,itaguai,RJ
RaOkWsPxWyfH,rio de janeiro,RJ
QLnKaIJPjRWE,sao paulo,SP
scToOw5NHiTB,atibaia,SP
SdT0o45Yj8Bf,araguari,MG
WS2peMiof7Jm,sao paulo,SP
AOPKEr0hKCMe,taboao da serra,SP
OwSYb7TQ6Qih,marilia,SP
yDcfi3bn2Mbo,suzano,SP
PzA9CgfociwL,sao paulo,SP
fgevX8sCnX1f,timoteo,MG
hNuB8KvLDzYW,itauna,MG
HweMwcogYLKJ,taubate,SP
PszxF4Xb9ctj,marechal candido rondon,PR
v2R0fpWKdwHZ,vitoria da conquista,BA
p9mGwivQnDh0,florianopolis,SC
W8stm8LxzTFi,marilia,SP
j26717L6pPO3,campo grande,MS
D0GjGoIKnkeD,pouso alegre,MG
6BMV1F1V5wnL,rio de janeiro,RJ
0uMVadewWdrQ,campinas,SP
0PXNy4rCS7Az,portao,RS
krxFfDYCmO1I,rio de janeiro,RJ
mzgTWjD8jrJ2,belo horizonte,MG
0blmlaFl7t16,belo horizonte,MG
s3kQ0WA0Kjro,sao paulo,SP
ZjkZbnXTUK4W,recife,PE
l1hOG9K0NNqu,sao paulo,SP
Y2A89lImWjiS,araruama,RJ
jherbbCbG8o6,sete lagoas,MG
QN2HOF65CBq7,sao domingos do norte,ES
61cCgU18Ntms,belo horizonte,MG
kY5nqxgcLJoz,queimados,RJ
waCHPsPDrChV,campinas,SP
pM4lx1qz46jM,rio de janeiro,RJ
7udbJtvDx5rR,raposos,MG
yBWZB71df8Uf,caxias do sul,RS
DFJtBJ9KFqwU,salto da divisa,MG
5AuZqZudAJUN,sao paulo,SP
biJFYDs6oiV6,rio de janeiro,RJ
TdWm0VAAJjOj,cachoeiro de itapemirim,ES
piSl4rs2CWNW,neropolis,GO
Z65JSmhww26s,santo antonio de padua,RJ
H2jk9bLzQo6c,rio de janeiro,RJ
Qs8Qp2kpNGpB,tatui,SP
I82u5GRP33b2,rio claro,SP
DQeaJZAowYD5,belo horizonte,MG
IpebbBc3BLJY,itapolis,SP
LWaxzDw6sbhb,rio de janeiro,RJ
1wNR2RRhrf1e,sao paulo,SP
Xx7In061BRVv,porto alegre,RS
EHmzMPGDA2Q1,sao paulo,SP
qZP8L6EdGnPT,sao paulo,SP
7ZhRvBN33Ppu,sao vicente,SP
lMploIEDE5t1,sao jose dos campos,SP
nmfHLDmLcYnN,sao paulo,SP
NCLtw782Z90c,rio de janeiro,RJ
98lbvr6LlRNI,valinhos,SP
bgk8dKC9BdcZ,belem,PA
6vYncTxcoCIc,sao paulo,SP
aAj2k8faWxXx,sao jose dos campos,SP
c411do2kUza9,sao paulo,SP
nstrXV11Eh1d,vila velha,ES
eeVq3V5ZvMJc,ituiutaba,MG
PoAjMzkCDy4f,guarapuava,PR
C4n3HzQPSwgj,sao paulo,SP
a4bX6IpBfAgy,barueri,SP
tDPLnreg8my3,votorantim,SP
Gk7XFQagzvBP,itaqui,RS
q3sqcZM697pE,valinhos,SP
wGe7JNvnTjzS,belo horizonte,MG
UoaCMr5bDUEM,santo angelo,RS
Kpz2hTznEFNM,cruz alta,RS
QfBRR8FjtOuO,sao jose dos campos,SP
mgCe0f5l5E5V,ararangua,SC
O97DkFr5B7D6,belo horizonte,MG
9nMrNayWAXwa,sao paulo,SP
Z1jdDJ1gk4DK,brasilia,DF
YjMdFpfohOvw,pedreira,SP
HYefMMqVhyWE,olinda,PE
hyuHx1hjQZlK,belo horizonte,MG
93KVAyrLIcyV,sao paulo,SP
pSrScTePVQM4,salto,SP
yw0CT8pn6dpv,sao paulo,SP
tM3WtkYRnmuM,nova friburgo,RJ
NtTT0puoTuuc,birigui,SP
g1ClhNQGYa3r,sao paulo,SP
51oOYjDzJIz9,timoteo,MG
xCRM2rFEJCov,itaqui,RS
FJh5L8jb0KBQ,tupa,SP
LiFtXPEaDO4o,sao paulo,SP
OiYtgsN3div6,guaruja,SP
iXz0W1guZQsK,belem,PA
Mtk3UaFqG8Op,braganca paulista,SP
h8uikEDooCbh,rio de janeiro,RJ
D5NOgeWJP181,guaratingueta,SP
GpX7D8Xva7is,piraju,SP
NUjfM1LKqlKe,belo horizonte,MG
uXCGChk8sbU2,salto,SP
YfqYflgWn8vR,rio de janeiro,RJ
WTzdx8UsSArn,araraquara,SP
dfCYtJZA8PwW,sorocaba,SP
bnWxfj1QJaQ2,esmeraldas,MG
uIllvYAkW1It,guara,SP
08P6RYX9xF6I,brasilia,DF
Q2l45qCWP9C9,pinheiro machado,RS
urWt6st0JK0H,fortaleza,CE
XhA3UwKFyOGF,belo horizonte,MG
UBiiJl88CwoU,botucatu,SP
B54uUcMMTmZ3,sete lagoas,MG
zkgT067sA725,sao jose do rio preto,SP
rxmFMezo5EAb,anapolis,GO
pWuRLR9BGUk8,cianorte,PR
PWFcU40dBS2N,sorocaba,SP
wiGzovyzf5ut,mage,RJ
aXaVwHrtUvGo,sao paulo,SP
oJVFQ1PPSiqX,rio de janeiro,RJ
kvcDm2olOrJR,campo belo,MG
jxJBYwNPDV3Q,silvianopolis,MG
gN6eHLJGEJnj,cotia,SP
YO82MSPOrIq8,orlandia,SP
hL12nYYh3YZG,uberaba,MG
kf7ws4dHGlN9,santo andre,SP
rU97iAWjKxcE,brasilia,DF
au6ZkjaFjLAc,cruzeiro,SP
JLs6RPQchsAa,guacui,ES
SNhTrBtef2Vr,ouro branco,MG
aL9RAULckrK3,rio de janeiro,RJ
VVn7erkSk7l4,itabira,MG
Jxs7swrthdtq,embu-guacu,SP
f6Ww1m9rUCYJ,curitiba,PR
fJX5dZ2JSLKb,dois vizinhos,PR
m6K5ibpji1Aw,ilheus,BA
UARS3Izr5bwt,campos dos goytacazes,RJ
oaMEjWVeivvp,mogi das cruzes,SP
785QLPMbRzXe,jandira,SP
ffzfunI2TNvC,votuporanga,SP
kDeRn5clu5d1,cascavel,PR
axl2XzOfh9m5,campina grande,PB
n2VTbNDEA1jK,sao paulo,SP
9BvxzrpUAldI,sorocaba,SP
BnfT6QMLWklC,fervedouro,MG
Jz8RapBBedv6,sarapui,SP
2LmbYodj2JZd,betim,MG
IQPWnol52gR9,campinas,SP
Ya7oNfV8gbvS,curitiba,PR
jYso1n3HbVEp,sao paulo,SP
9cI6ZLmmRsBd,sorocaba,SP
EbLHlx2GoD5G,barueri,SP
WSM2iHJJFF73,belo horizonte,MG
agw0AzrkgJVs,barueri,SP
DxGARFATZz08,ribeirao pires,SP
PoQx4Efo3jac,pirai,RJ
juEs5JomecNZ,cujubim,RO
M7mugboNEwhH,presidente prudente,SP
ms3vOBVNSt9I,teolandia,BA
xLBNhTP9TUVC,brasilia,DF
Yx3LJKk3jAfP,itaquaquecetuba,SP
lrz2UMctrAfI,sao paulo,SP
SqPFoVKJk683,sao bernardo do campo,SP
rBsSfaw8xdT9,rio de janeiro,RJ
dR78n6kqRavg,lavras do sul,RS
Ub1OkOAoC93N,joinville,SC
xtTQFcyuQmG4,cabo frio,RJ
09oJGwMSqSBE,porto alegre,RS
HNReMJSViwju,coronel fabriciano,MG
eMZePIcv2RyT,sao paulo,SP
LWSEcXx2QlT6,pato branco,PR
J3mMhQiqLMis,fortaleza,CE
zJC4GgA8fo4u,sao carlos,SP
noL0ax3QYlCv,rio de janeiro,RJ
HTZ1kvhdSPMD,duque de caxias,RJ
zOb3V18UxbMZ,macae,RJ
MvjlVdOZZdbQ,guarulhos,SP
U7SvpsFMYlpX,itatiaia,RJ
Tr6WTjYA4htg,castanhal,PA
hR4Y4pGLAoiQ,sao paulo,SP
IC62563exeCq,brasilia,DF
iK8mH4Gy3d4u,itajuba,MG
oC0yQMJuQYPl,santo andre,SP
lnz8NjKbJ6Be,campinas,SP
ELAnoQ4qB9Xy,mateus leme,MG
rDLmZ8USZkzV,sorocaba,SP
3O3jhR4XlWWN,sao paulo,SP
weANExyWZGBY,sete lagoas,MG
JJebsIs4erEk,belem,PA
cTZmpvyqCj8l,sao jose dos campos,SP
tSxFcQPFuVa4,porto alegre,RS
Qmi0MGC0crZs,sao paulo,SP
qHUs6eEl0XDa,sao paulo,SP
4DCGNNF7GGzX,veranopolis,RS
DikIewYqnJ3l,jaragua do sul,SC
A8FQhNUYVExn,brasilia,DF
KHEKGqxkVqcn,guarulhos,SP
U3nMSf4RyGvc,nova lima,MG
d5D04S98DzyM,valinhos,SP
ZpFCW8iQ84Bi,uberlandia,MG
yKoyoEu6RGFw,osasco,SP
FnHdpQjqgcQy,nova iguacu,RJ
VoBCoajTAitP,cuiaba,MT
PdURXwkuj47Q,guaruja,SP
At67SDjM0Ufs,sao paulo,SP
iqJ9cczQylZm,jundiai,SP
Wj7cPF4DrJcQ,mage,RJ
n9qEKmQ62Xna,salto,SP
CUyfJXDLPscD,sao paulo,SP
LXhZsqD25N9M,paulinia,SP
clkB368ByvwQ,rio de janeiro,RJ
v6g725MP0vp1,jaragua do sul,SC
D44zyoFq5HzB,dourados,MS
rauOqynFIsmY,campinas,SP
R6p11xnsOpqy,itajai,SC
8uR5CxiBrjIg,sao paulo,SP
nhxRLAUXJFdQ,pindamonhangaba,SP
zbwwi02uReAC,sao paulo,SP
r3zAjtLzAvhg,sao paulo,SP
OdCJZfFlbg52,sao paulo,SP
yZAy2845XKp3,itupeva,SP
HtLcyc6o29a4,formigueiro,RS
rggqHuGsrfAS,sobral,CE
JNsi6fRUCx4j,rio de janeiro,RJ
SrZwDO9vIfx4,sao paulo,SP
yXGJ0NOHhmbG,guarulhos,SP
xqeAEp1fgXKI,curitiba,PR
ZnEwE1d9Xjy6,sao paulo,SP
5FCiefAbJ6yB,sao paulo,SP
GSd56MgjHOlf,sao paulo,SP
kYPnnxy0FgG5,barueri,SP
P1EX7gXwqClX,sao bernardo do campo,SP
140Eq7kOLbSV,guarulhos,SP
MWxzeChu5BJx,belo horizonte,MG
DzBpa1Mc2BSu,santa rosa,RS
jStOqoiGjp8A,belo horizonte,MG
HlDycpLVAwtW,cascavel,PR
TVW6AsiGH05J,santa barbara d'oeste,SP
E4iX8HsI0NTy,rio de janeiro,RJ
GnQgoBAgpnGP,rio de janeiro,RJ
91wxxPkMYOV0,belem,PA
fasAbKbM2I0V,buriti alegre,GO
K3KeTt2ycXsH,piracicaba,SP
bYpDtbKkjz7u,sao paulo,SP
cg9PLULBCoi3,sao jose do rio preto,SP
4CX4rdTXFViH,rio de janeiro,RJ
rZEwDWHI8Dtt,blumenau,SC
0hFhV4DVOvwZ,sao paulo,SP
lY2YRE6xxuzR,sao joao,PR
AqmEJbgGrBac,cascavel,PR
D6RM5zv68JN0,rio de janeiro,RJ
EWeH4f5SvtPQ,cuiaba,MT
JVltarx7FfxC,campinas,SP
h3PVRZGNSERF,guaxupe,MG
kfO7V3LLUBn1,sao paulo,SP
P0gXz73AjcK1,fortaleza,CE
HNftBcxUGflb,altamira,PA
MIn6giXgKR7y,contagem,MG
8SLMVJTcOUZT,rio de janeiro,RJ
i9VEbADvBcM4,hidrolandia,CE
eEKz4WrFtSod,paranavai,PR
HQuZMzVZBsaU,rio de janeiro,RJ
KZuGZMaQS79g,chapeco,SC
7AaKmR4umzhj,belo horizonte,MG
pmZ1liWqlsQe,cachoeira paulista,SP
4PCMFd9Z8SS2,matinhos,PR
MTLqFaN0HNpp,governador valadares,MG
dH1MRWD6GxLG,salvador,BA
U6sNZLA8co1C,torres,RS
xnGwBGbjA35w,jacarei,SP
IPHHl0wYyTYJ,sao luis,MA
VMAMglGK5IS4,sao paulo,SP
l8wB4Jq65Wip,sao bernardo do campo,SP
kas3vmadhAJw,campo mourao,PR
6zhLGG4CoMfT,teodoro sampaio,SP
eJy3pOWcW9RJ,natal,RN
xkm7BHjwf2wj,amparo,SP
kFBwwE7UTkre,franca,SP
8IUgEO0lOJDr,resende,RJ
LDzOYh4nGBMQ,brasilia,DF
ozdePz5H0OHS,santos,SP
Ksoq9sKXSXRA,vitoria,ES
OWzci3Dhs9Wd,sete lagoas,MG
Ka6BzQslx8PM,paraty,RJ
Sx6n5NSwXv1O,duque de caxias,RJ
